City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,6.96,55,0,4.85,clear sky
1,Hermanus,ZA,-34.4187,19.2345,69.8,87,3,11.21,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,55.11,62,100,21.12,overcast clouds
3,Palu,ID,-0.8917,119.8707,76.37,94,100,2.55,overcast clouds
4,Port Moresby,PG,-9.4431,147.1797,80.02,83,20,5.75,few clouds
5,Bengkulu,ID,-3.8004,102.2655,74.88,87,90,4.59,overcast clouds
6,Albany,US,42.6001,-73.9662,48.58,40,55,11.99,broken clouds
7,Phan Thiet,VN,10.9333,108.1,77.14,83,90,4.56,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,-10.59,91,71,0.2,broken clouds
9,Carnarvon,AU,-24.8667,113.6333,76.41,69,99,19.28,overcast clouds
10,Ulladulla,AU,-35.35,150.4667,69.48,70,99,4.43,overcast clouds
11,Narsaq,GL,60.9167,-46.05,16.02,71,1,7.11,clear sky
12,San Policarpo,PH,12.1791,125.5072,79.77,86,100,6.4,overcast clouds
13,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,3.44,light rain
14,Bandarbeyla,SO,9.4942,50.8122,75.58,79,14,2.57,few clouds
15,Omboue,GA,-1.5746,9.2618,78.71,83,100,6.04,overcast clouds
16,Yulara,AU,-25.2406,130.9889,80.11,22,2,5.17,clear sky
17,Hauterive,FR,46.0901,3.4459,43.56,66,36,6.24,scattered clouds
18,Dakar,SN,14.6937,-17.4441,67.08,84,4,17.11,clear sky
19,Fenoarivo,MG,-18.933,47.4354,62.67,88,75,11.5,broken clouds
20,Avarua,CK,-21.2078,-159.775,86.05,70,40,20.71,scattered clouds
21,Trelew,AR,-43.249,-65.3051,66.54,45,95,5.37,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,79.66,68,3,14.58,clear sky
23,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.74,78,98,2.42,overcast clouds
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.08,81,100,16.37,overcast clouds
25,Georgetown,MY,5.4112,100.3354,80.53,78,20,2.3,few clouds
26,Saint George,US,37.1041,-113.5841,64.99,17,0,11.01,clear sky
27,Ushuaia,AR,-54.8,-68.3,47.1,89,98,7.02,light rain
28,Usevya,TZ,-7.1,31.2333,67.37,96,92,3.94,overcast clouds
29,Jamestown,US,42.097,-79.2353,49.95,39,100,5.75,overcast clouds
30,Los Llanos De Aridane,ES,28.6585,-17.9182,57.13,77,0,5.75,clear sky
31,Bara,NG,10.3744,10.7288,81.36,12,83,5.41,broken clouds
32,Kapaa,US,22.0752,-159.319,82.38,63,78,3.0,broken clouds
33,Visnes,NO,59.3556,5.2242,39.25,87,100,14.97,overcast clouds
34,Sao Filipe,CV,14.8961,-24.4956,69.96,74,16,10.98,few clouds
35,Bethel,US,41.3712,-73.414,56.75,37,68,11.05,broken clouds
36,Hobart,AU,-42.8794,147.3294,62.46,90,100,4.61,light rain
37,Vestmannaeyjar,IS,63.4427,-20.2734,44.94,92,100,18.75,light rain
38,Dothan,US,31.2232,-85.3905,74.44,54,79,6.78,broken clouds
39,Dunedin,NZ,-45.8742,170.5036,60.8,85,100,7.0,overcast clouds
40,Castro,BR,-24.7911,-50.0119,59.14,93,36,10.56,scattered clouds
41,Margate,GB,51.3813,1.3862,50.31,81,52,1.99,broken clouds
42,Ponta Do Sol,PT,32.6667,-17.1,64.06,74,100,7.65,overcast clouds
43,Neuquen,AR,-38.9516,-68.0591,66.22,38,45,20.58,scattered clouds
44,Busselton,AU,-33.65,115.3333,54.75,83,0,10.83,clear sky
45,Gerede,TR,40.8008,32.1969,13.17,98,100,0.85,overcast clouds
46,Pevek,RU,69.7008,170.3133,25.3,72,100,18.92,overcast clouds
47,Ambon,ID,-3.6954,128.1814,78.94,89,40,2.3,scattered clouds
48,Provideniya,RU,64.3833,-173.3,17.71,62,0,4.47,clear sky
49,San Quintin,MX,30.4833,-115.95,63.01,66,25,10.96,scattered clouds
50,San Patricio,US,28.017,-97.5169,83.16,75,99,26.04,overcast clouds
51,Santa Cruz,BO,-17.8,-63.1667,76.28,71,68,4.63,broken clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,75.31,65,100,14.2,overcast clouds
53,Odweyne,SO,9.4092,45.064,73.63,34,18,7.99,few clouds
54,Saskylakh,RU,71.9167,114.0833,-2.27,99,100,3.33,overcast clouds
55,Khash,IR,28.2211,61.2158,58.69,19,0,3.56,clear sky
56,Luderitz,NA,-26.6481,15.1594,75.04,60,5,15.37,clear sky
57,Port Alfred,ZA,-33.5906,26.891,71.24,85,0,12.91,clear sky
58,Buala,SB,-8.145,159.5921,85.01,62,91,2.86,overcast clouds
59,Richards Bay,ZA,-28.783,32.0377,67.55,75,98,4.97,overcast clouds
60,Sakakah,SA,29.9697,40.2064,54.3,35,97,19.19,overcast clouds
61,Tobermory,CA,45.2501,-81.6665,35.56,72,100,1.61,overcast clouds
62,Neryungri,RU,56.6709,124.6491,16.0,88,95,14.43,overcast clouds
63,Mataura,NZ,-46.1927,168.8643,70.05,57,44,6.69,scattered clouds
64,Oranjestad,AW,12.524,-70.027,78.35,83,23,23.13,few clouds
65,Dymer,UA,50.7865,30.3026,41.9,83,2,8.14,clear sky
66,Medicine Hat,CA,50.0501,-110.6683,54.03,22,20,18.41,few clouds
67,Peniche,PT,39.3558,-9.3811,52.93,92,87,5.3,overcast clouds
68,Vacaria,BR,-28.5122,-50.9339,59.23,81,86,8.75,overcast clouds
69,Tomatlan,MX,19.9333,-105.25,90.45,17,30,11.45,scattered clouds
70,Tamale,GH,9.4008,-0.8393,87.87,39,73,6.33,broken clouds
71,Bashtanka,UA,47.4072,32.4387,38.1,91,0,11.23,clear sky
72,Hualmay,PE,-11.0964,-77.6139,70.97,82,85,9.37,overcast clouds
73,Andenes,NO,69.3143,16.1194,37.38,70,75,11.5,broken clouds
74,Svilengrad,BG,41.7667,26.2,35.71,63,100,6.93,overcast clouds
75,Barrow,US,71.2906,-156.7887,-7.58,64,0,9.22,clear sky
76,Nendaz,CH,46.1833,7.3,33.62,45,0,1.14,clear sky
77,Butaritari,KI,3.0707,172.7902,80.28,80,48,15.68,light rain
78,Yellowknife,CA,62.456,-114.3525,19.42,91,100,16.11,light snow
79,New Norfolk,AU,-42.7826,147.0587,62.1,72,100,0.54,overcast clouds
80,Qaanaaq,GL,77.484,-69.3632,-5.26,89,100,6.08,overcast clouds
81,Saint Anthony,US,45.0205,-93.218,62.04,52,20,11.5,few clouds
82,Hilo,US,19.7297,-155.09,82.26,77,18,8.01,few clouds
83,Honghu,CN,29.8206,113.4621,44.24,93,100,9.55,overcast clouds
84,Dawlatabad,AF,36.4141,64.9053,50.25,52,100,5.93,overcast clouds
85,Fort Saint James,CA,54.4333,-124.25,47.7,58,70,7.34,broken clouds
86,Lingao,CN,19.9103,109.6859,75.61,85,83,4.56,broken clouds
87,Bluff,NZ,-46.6,168.3333,63.57,73,13,4.79,few clouds
88,Hithadhoo,MV,-0.6,73.0833,83.5,75,71,15.73,broken clouds
89,Vadso,NO,70.0744,29.7487,35.76,69,75,36.82,light rain
90,Fortuna,US,40.5982,-124.1573,61.93,67,100,12.66,overcast clouds
91,Vallenar,CL,-28.5708,-70.7581,73.26,48,0,4.85,clear sky
92,Scarborough,GB,54.2797,-0.4044,47.64,78,58,15.01,broken clouds
93,Kahului,US,20.8947,-156.47,82.98,81,10,11.01,clear sky
94,Lumphat,KH,13.4878,106.9816,75.45,87,100,2.39,overcast clouds
95,Shorewood,US,41.52,-88.2017,71.58,40,0,11.5,clear sky
96,Coracora,PE,-15.0333,-73.7833,52.14,75,97,4.88,light rain
97,Nizhniy Kuranakh,RU,58.8353,125.4869,20.84,94,100,8.59,light snow
98,Morro Bay,US,35.3658,-120.8499,77.4,49,61,8.01,broken clouds
99,Kloulklubed,PW,7.0419,134.2556,82.89,73,96,16.26,overcast clouds
100,Vila Velha,BR,-20.3297,-40.2925,72.95,84,75,15.01,broken clouds
101,Ostrovnoy,RU,68.0531,39.5131,29.19,76,59,29.06,broken clouds
102,Khatanga,RU,71.9667,102.5,-16.37,99,100,5.35,overcast clouds
103,Senneterre,CA,48.3835,-77.2328,22.23,78,71,12.28,broken clouds
104,Pangnirtung,CA,66.1451,-65.7125,-9.13,82,80,4.0,broken clouds
105,Saint-Philippe,RE,-21.3585,55.7679,78.39,90,88,9.84,moderate rain
106,Sorland,NO,67.667,12.6934,40.14,95,89,12.82,light rain
107,Iqaluit,CA,63.7506,-68.5145,-2.31,84,78,1.99,broken clouds
108,Westport,US,41.1415,-73.3579,59.83,34,66,4.0,broken clouds
109,Rundu,NA,-17.9333,19.7667,67.69,87,94,4.97,overcast clouds
110,Kavieng,PG,-2.5744,150.7967,83.64,72,99,5.86,overcast clouds
111,Portree,GB,57.4129,-6.1942,45.52,68,77,4.5,broken clouds
112,Ibotirama,BR,-12.1853,-43.2206,80.17,52,100,0.78,overcast clouds
113,Whitley Bay,GB,55.0397,-1.4471,44.82,88,40,2.3,scattered clouds
114,Iracoubo,GF,5.4802,-53.2011,76.37,88,95,10.36,overcast clouds
115,Luwuk,ID,-0.9516,122.7875,78.98,75,99,1.9,overcast clouds
116,Hobyo,SO,5.3505,48.5268,77.54,76,24,8.61,few clouds
117,Nicoya,CR,10.1483,-85.452,89.04,42,91,9.95,overcast clouds
118,Dikson,RU,73.5069,80.5464,0.95,97,100,11.34,overcast clouds
119,Cabo San Lucas,MX,22.8909,-109.9124,78.62,57,48,3.0,scattered clouds
120,Lata,PT,40.1629,-8.3327,57.07,82,96,2.91,overcast clouds
121,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,71.92,66,9,4.43,clear sky
122,Cape Town,ZA,-33.9258,18.4232,70.12,78,0,10.22,clear sky
123,Bucerias,MX,20.75,-105.3333,81.79,35,60,6.91,broken clouds
124,Maumere,ID,-8.6199,122.2111,80.65,77,94,1.88,overcast clouds
125,Ola,RU,59.5833,151.2833,26.15,95,100,4.23,snow
126,Salalah,OM,17.0151,54.0924,71.56,35,29,3.24,scattered clouds
127,Yumen,CN,40.2833,97.2,33.3,61,98,10.29,overcast clouds
128,Larsnes,NO,62.2028,5.5773,41.45,72,35,3.33,scattered clouds
129,Souillac,MU,-20.5167,57.5167,79.18,94,75,3.44,broken clouds
130,Pacific Grove,US,36.6177,-121.9166,73.45,65,42,5.01,scattered clouds
131,Tessalit,ML,20.1986,1.0114,72.37,12,0,8.99,clear sky
132,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,28.77,broken clouds
133,Meulaboh,ID,4.1363,96.1285,75.54,89,100,5.3,overcast clouds
134,Saucillo,MX,28.0167,-105.2833,71.62,8,21,36.64,few clouds
135,Ribeira Grande,PT,38.5167,-28.7,57.69,64,100,22.17,overcast clouds
136,Faya,SA,18.3851,42.4509,59.79,56,0,5.37,clear sky
137,Coquimbo,CL,-29.9533,-71.3436,65.64,70,0,5.37,clear sky
138,Byron Bay,AU,-28.65,153.6167,72.95,68,13,7.99,few clouds
139,Lujan,AR,-34.5703,-59.105,69.94,74,94,1.01,light rain
140,Dandong,CN,40.1292,124.3947,33.67,55,0,4.68,clear sky
141,Saint-Augustin,CA,51.226,-58.6502,30.33,97,100,19.24,light snow
142,Tarko-Sale,RU,64.9225,77.785,-6.72,97,30,9.75,scattered clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,81.55,88,66,4.0,broken clouds
144,Chokurdakh,RU,70.6333,147.9167,3.67,85,100,15.95,overcast clouds
145,Mahebourg,MU,-20.4081,57.7,79.25,94,75,3.44,broken clouds
146,Prince Rupert,CA,54.3161,-130.3201,50.09,76,20,29.93,few clouds
147,Mount Isa,AU,-20.7333,139.5,80.37,54,2,5.75,clear sky
148,Vaini,TO,-21.2,-175.2,81.57,78,96,15.39,light rain
149,Platteville,US,42.7342,-90.4785,72.16,40,0,8.05,clear sky
150,Alofi,NU,-19.0595,-169.9187,82.08,77,100,18.16,light rain
151,Goderich,CA,43.7501,-81.7165,35.91,86,100,6.91,moderate rain
152,Saint-Georges,GD,12.0564,-61.7485,80.28,69,20,20.71,few clouds
153,Floro,NO,61.5996,5.0328,42.87,70,0,6.91,clear sky
154,Bredasdorp,ZA,-34.5322,20.0403,66.11,93,1,5.82,clear sky
155,Saldanha,ZA,-33.0117,17.9442,64.54,92,0,10.51,clear sky
156,Miyoshi,JP,35.0833,137.0667,44.22,86,100,5.59,light rain
157,Chardara,KZ,41.2547,67.9692,41.32,78,90,5.12,overcast clouds
158,Klaksvik,FO,62.2266,-6.589,43.72,86,52,18.97,broken clouds
159,Bagado,CO,5.4116,-76.4152,76.23,95,96,1.41,moderate rain
160,Peterhead,GB,57.5058,-1.7981,37.8,88,3,12.06,clear sky
161,Torbay,CA,47.6666,-52.7314,37.76,98,75,14.97,moderate rain
162,Diu,IN,20.7141,70.9822,79.32,34,13,12.68,few clouds
163,Margosatubig,PH,7.5777,123.1658,76.8,91,90,3.13,overcast clouds
164,Geraldton,AU,-28.7667,114.6,63.01,82,2,10.36,clear sky
165,Abha,SA,18.2164,42.5053,59.59,54,0,5.66,clear sky
166,Lerwick,GB,60.1545,-1.1494,41.0,83,9,11.79,clear sky
167,Humberto De Campos,BR,-2.5983,-43.4611,75.96,93,92,4.34,light rain
168,Portland,US,45.5234,-122.6762,51.28,95,100,12.66,mist
169,Lagoa,PT,39.05,-27.9833,56.82,62,100,26.31,overcast clouds
170,Mitsamiouli,KM,-11.3847,43.2844,81.16,78,96,4.92,overcast clouds
171,Bambanglipuro,ID,-7.95,110.2833,76.59,89,100,4.41,overcast clouds
172,San Cristobal,VE,7.7669,-72.225,75.38,70,51,1.03,broken clouds
173,Cloquet,US,46.7216,-92.4594,34.34,82,100,18.41,overcast clouds
174,Mackay,AU,-21.15,149.2,82.69,63,70,9.19,broken clouds
175,Khandbari,NP,27.3747,87.2039,64.62,39,24,5.19,few clouds
176,Grand Gaube,MU,-20.0064,57.6608,79.38,89,51,11.86,broken clouds
177,Kyzyl-Suu,KG,42.3414,78.0056,34.34,66,100,6.35,overcast clouds
178,Xining,CN,36.6167,101.7667,35.06,70,100,1.45,overcast clouds
179,Beidao,CN,34.5686,105.8933,45.03,77,100,2.57,overcast clouds
180,Esperance,AU,-33.8667,121.9,61.84,67,100,14.23,overcast clouds
181,Noumea,NC,-22.2763,166.4572,84.18,99,90,7.07,overcast clouds
182,Hondo,JP,32.45,130.2,50.32,88,100,18.23,light rain
183,Honiara,SB,-9.4333,159.95,85.46,66,82,3.53,broken clouds
184,Faanui,PF,-16.4833,-151.75,81.54,74,72,14.97,light rain
185,Kanashevo,RU,55.2169,62.0634,27.16,94,98,14.47,light snow
186,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.0,broken clouds
187,Ayr,GB,55.4627,-4.6339,40.98,75,20,1.14,few clouds
188,Constitucion,CL,-35.3333,-72.4167,58.03,79,2,14.45,clear sky
189,Codrington,AU,-38.2667,141.9667,61.47,85,97,5.41,overcast clouds
190,Russell,US,32.3502,-85.1999,65.26,51,62,5.86,broken clouds
191,Waddan,LY,29.1614,16.139,49.42,64,40,12.64,scattered clouds
192,Bhatkal,IN,13.9667,74.5667,80.22,78,100,4.25,overcast clouds
193,Magadan,RU,59.5667,150.8,25.54,95,100,2.64,snow
194,Isangel,VU,-19.55,169.2667,81.28,81,100,8.1,overcast clouds
195,Brigantine,US,39.4101,-74.3646,62.8,29,0,10.36,clear sky
196,Skjervoy,NO,70.0311,20.9714,35.6,77,99,34.2,light rain
197,Hamilton,US,39.1834,-84.5333,70.43,35,72,5.06,broken clouds
198,Muros,ES,42.7762,-9.0603,49.68,90,14,2.51,few clouds
199,Sembakung,ID,3.8167,117.25,73.13,99,99,0.89,overcast clouds
200,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,75,97,18.48,overcast clouds
201,Nome,US,64.5011,-165.4064,14.16,57,18,0.34,few clouds
202,Cienfuegos,CU,22.1461,-80.4356,81.48,58,50,12.53,scattered clouds
203,Port Hardy,CA,50.6996,-127.4199,44.62,94,100,21.27,moderate rain
204,Effium,NG,6.6292,8.0593,85.35,62,100,11.74,overcast clouds
205,Joshimath,IN,30.5667,79.5667,50.27,30,0,9.35,clear sky
206,Gandajika,CD,-6.75,23.95,64.36,96,100,3.4,overcast clouds
207,Vrangel,RU,42.7297,133.0839,32.11,59,55,8.7,broken clouds
208,Tiarei,PF,-17.5333,-149.3333,82.42,77,24,13.18,light rain
209,Te Anau,NZ,-45.4167,167.7167,66.0,56,83,0.18,broken clouds
210,Kavaratti,IN,10.5669,72.642,81.43,68,5,10.45,clear sky
211,Lumberton,US,34.6182,-79.0086,68.31,43,3,3.42,clear sky
212,Kamuli,UG,0.9472,33.1197,68.43,77,52,1.25,light rain
213,Lorengau,PG,-2.0226,147.2712,83.48,72,69,3.62,broken clouds
214,Rheinfelden,DE,47.5667,7.8,48.49,63,1,3.94,clear sky
215,Pyu,MM,18.4833,96.4333,75.45,81,85,2.35,overcast clouds
216,Kodiak,US,57.79,-152.4072,37.69,67,2,17.36,clear sky
217,Wuan,CN,31.6836,112.0044,42.37,93,100,10.78,overcast clouds
218,Cap Malheureux,MU,-19.9842,57.6142,79.47,89,49,11.99,scattered clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.09,83,100,8.63,overcast clouds
220,Lavrentiya,RU,65.5833,-171.0,7.81,84,75,3.18,broken clouds
221,Zonguldak,TR,41.25,31.8333,23.38,95,71,3.11,broken clouds
222,Nueva Concepcion,GT,14.2,-91.3,88.18,47,44,9.8,scattered clouds
223,Tura,IN,25.5198,90.2201,69.91,56,45,3.71,scattered clouds
224,Atuona,PF,-9.8,-139.0333,79.25,77,87,14.61,light rain
225,Slave Lake,CA,55.2834,-114.769,41.09,71,72,9.75,broken clouds
226,Port-Cartier,CA,50.0334,-66.8654,35.82,74,65,14.92,broken clouds
227,Batagay-Alyta,RU,67.8006,130.4114,-18.45,82,3,5.53,clear sky
228,Sobolevo,RU,54.4299,31.8996,26.85,96,26,4.45,scattered clouds
229,Azul,AR,-36.777,-59.8585,60.35,62,100,14.29,light rain
230,Sur,OM,22.5667,59.5289,73.47,46,0,11.5,clear sky
